Qid,Qustion,A,B,C,D,Answer,Level
1,Which of the following is defined as the study of the mechanics of living organisms?,Biotechnology,Biomechanics,Biochemistry,Biophysics,b,easy
2,What is the unit of force in the International System of Units (SI)?,Newton (N),Joule (J),Pascal (Pa),Watt (W),a,easy
3,Which law of motion states that an object will remain at rest or in uniform motion unless acted upon by an external force?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Universal Gravitation,a,easy
4,Which of the following is an example of a longitudinal mechanical wave?,Sound wave,Light wave,Water wave,Radio wave,a,easy
5,What is the term for the study of forces and their effects on the human body in motion or at rest?,Kinesiology,Physiology,Biophysics,Anatomy,a,easy
6,What is the formula for calculating force?,Force = Mass × Acceleration,Force = Mass × Velocity,Force = Distance / Time,Force = Mass × Gravity,a,easy
7,Which of the following is a measure of the resistance of an object to changes in its rotational motion?,Mass,Weight,Torque,Acceleration,c,easy
8,Which part of the human body is primarily responsible for the production of red blood cells?,Liver,Kidneys,Spleen,Bone marrow,d,easy
9,What is the term for the study of the mechanical aspects of living organisms and their interactions with external forces?,Biomechanics,Biochemistry,Biophysics,Biology,a,easy
10,Which of the following joints is classified as a hinge joint?,Shoulder joint,Elbow joint,Hip joint,Wrist joint,b,easy
11,What is the formula for calculating pressure?,Pressure = Force × Area,Pressure = Force / Area,Pressure = Mass × Acceleration,Pressure = Mass / Volume,b,easy
12,Which of the following is an example of a non-contact force?,Frictional force,Tension force,Gravitational force,Magnetic force,d,easy
13,Which type of lever has the fulcrum located between the effort force and the resistance force?,First-class lever,Second-class lever,Third-class lever,Fourth-class lever,a,easy
14,Which of the following is an example of a pulley?,Screwdriver,Wheel and axle,Elevator,Nutcracker,c,easy
15,What is the study of the structure and function of biological systems at the molecular and cellular levels?,Physiology,Biomechanics,Molecular biology,Anatomy,c,easy
16,Which of the following is a unit of torque?,Newton (N),Joule (J),Pascal (Pa),Newton-meter (Nm),d,easy
17,What is the term for the point around which a lever rotates or pivots?,Axis,Force,Fulcrum,Resistance,c,easy
18,Which of the following is a type of friction that opposes the motion of an object moving through a fluid?,Static friction,Kinetic friction,Rolling friction,Fluid friction,d,easy
19,What is the primary function of tendons in the human body?,Transmitting nerve impulses,Storing energy,Attaching muscle to bone,Cushioning joints,c,easy
20,Which of the following is an example of a second-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,d,easy
21,Which of the following is the correct definition of impulse?,The rate of change of momentum,The change in kinetic energy,The product of force and time,The resistance to motion,c,easy
22,Which of the following is an example of a first-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Neck joint,d,easy
23,What is the study of the mechanical properties of biological tissues?,Biomechanics,Biophysics,Biochemistry,Histology,a,easy
24,Which of the following is an example of a third-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,a,easy
25,Which of the following is a measure of the resistance of an object to changes in its linear motion?,Mass,Weight,Torque,Momentum,a,easy
26,What is the term for the study of forces acting on and within the body during movement?,Biomechanics,Physiology,Kinesiology,Anatomy,c,easy
27,Which of the following is an example of a wheel and axle?,Door knob,Bicycle wheel,Seesaw,Scissors,b,easy
28,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Volume,Density,a,easy
29,What is the primary function of tendons in the human body?,Transmitting nerve impulses,Storing energy,Attaching muscle to bone,Cushioning joints,c,easy
30,Which of the following is an example of a second-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,d,easy
31,Which of the following is the correct definition of impulse?,The rate of change of momentum,The change in kinetic energy,The product of force and time,The resistance to motion,c,easy
32,Which of the following is an example of a first-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Neck joint,d,easy
33,What is the study of the mechanical properties of biological tissues?,Biomechanics,Biophysics,Biochemistry,Histology,a,easy
34,Which of the following is an example of a third-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,a,easy
35,Which of the following is a measure of the resistance of an object to changes in its linear motion?,Mass,Weight,Torque,Momentum,a,easy
36,What is the term for the study of forces acting on and within the body during movement?,Biomechanics,Physiology,Kinesiology,Anatomy,c,easy
37,Which of the following is an example of a wheel and axle?,Door knob,Bicycle wheel,Seesaw,Scissors,b,easy
38,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Volume,Density,a,easy
39,What is the primary function of cartilage in the human body?,Providing support and protection,Transmitting nerve impulses,Storing energy,Facilitating muscle contraction,a,easy
40,Which of the following is an example of a compound machine?,Lever,Pulley,Wheelbarrow,Inclined plane,c,easy
41,What is the SI unit of force?,Newton (N),Joule (J),Watt (W),Pascal (Pa),a,easy
42,Which of the following is an example of an inclined plane?,Screwdriver,Ramp,Axe,Wheelbarrow,b,easy
43,What is the term for the study of the mechanical properties of bones?,Biomechanics,Osteology,Histology,Anatomy,b,easy
44,Which of the following is the correct formula for calculating work?,Work = Force × Distance,Work = Force × Time,Work = Mass × Acceleration,Work = Energy / Time,a,easy
45,What is the term for the force that opposes the relative motion of surfaces in contact?,Tension,Friction,Torque,Gravity,b,easy
46,Which of the following is an example of a fixed pulley?,Flagpole pulley,Elevator pulley,Fishing reel pulley,Clothesline pulley,a,easy
47,Which of the following is a measure of the force of gravity acting on an object?,Mass,Weight,Volume,Density,b,easy
48,What is the primary function of ligaments in the human body?,Providing support and protection,Transmitting nerve impulses,Storing energy,Facilitating muscle contraction,a,easy
49,Which of the following is an example of a simple machine?,Screw,Wheel and axle,Wedge,All of the above,d,easy
50,What is the term for the force that pulls objects towards the center of the Earth?,Friction,Tension,Torque,Gravity,d,easy
51,Which of the following is the correct definition of biomechanics?,The study of living organisms and their environments,The study of the structure and function of cells,The study of the mechanical aspects of living organisms and their interactions with external forces,The study of the chemistry of living organisms,c,medium
52,Which of the following is true about the center of mass of an object?,It is always located at the geometric center of the object.,It is the point where all the mass of the object is concentrated.,It is affected by the distribution of mass within the object.,It remains constant regardless of the object's orientation.,c,medium
53,Which of the following types of joints allows for movement in multiple directions?,Hinge joint,Ball-and-socket joint,Pivot joint,Gliding joint,b,medium
54,Which of the following is the correct formula for calculating torque?,Torque = Force × Distance,Torque = Force × Time,Torque = Mass × Acceleration,Torque = Mass × Distance,a,medium
55,What is the term for the study of forces acting on a system that is in static equilibrium?,Dynamics,Kinematics,Statics,Kinesiology,c,medium
56,Which of the following is an example of a second-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,d,medium
57,Which of the following is a measure of the resistance of an object to changes in its rotational motion?,Mass,Weight,Torque,Momentum,c,medium
58,Which of the following is true about Newton's Third Law of Motion?,It states that every object continues in a state of rest or uniform motion unless acted upon by an external force.,"It states that for every action, there is an equal and opposite reaction.","It describes the relationship between an object's mass, force, and acceleration.",It states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass.,b,medium
59,What is the term for the study of the mechanical properties of biological tissues?,Biomechanics,Osteology,Histology,Myology,a,medium
60,Which of the following is an example of a third-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,a,medium
61,What is the formula for calculating pressure?,Pressure = Force × Area,Pressure = Force / Area,Pressure = Mass × Acceleration,Pressure = Mass / Volume,b,medium
62,Which of the following types of joints allows for rotational movement around a central axis?,Hinge joint,Ball-and-socket joint,Pivot joint,Gliding joint,c,medium
63,Which of the following is the correct definition of impulse?,The rate of change of momentum,The change in kinetic energy,The product of force and time,The resistance to motion,c,medium
64,What is the term for the point around which a lever rotates or pivots?,Axis,Force,Fulcrum,Resistance,c,medium
65,What is the SI unit of force?,Newton (N),Joule (J),Watt (W),Pascal (Pa),a,medium
66,Which of the following is an example of an inclined plane?,Screwdriver,Ramp,Axe,Wheelbarrow,b,medium
67,Which of the following is the correct formula for calculating work?,Work = Force × Distance,Work = Force × Time,Work = Mass × Acceleration,Work = Energy / Time,a,medium
68,What is the term for the force that opposes the relative motion of surfaces in contact?,Tension,Friction,Torque,Gravity,b,medium
69,Which of the following is an example of a fixed pulley?,Flagpole pulley,Elevator pulley,Fishing reel pulley,Clothesline pulley,a,medium
70,Which of the following is a measure of the force of gravity acting on an object?,Mass,Weight,Volume,Density,b,medium
71,What is the primary function of ligaments in the human body?,Providing support and protection,Transmitting nerve impulses,Storing energy,Facilitating muscle contraction,a,medium
72,Which of the following is an example of a compound machine?,Lever,Pulley,Wheelbarrow,Inclined plane,c,medium
73,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Volume,Density,a,medium
74,What is the term for the force that pulls objects towards the center of the Earth?,Friction,Tension,Torque,Gravity,d,medium
75,What is the term for the resistance of a fluid to flow?,Inertia,Viscosity,Buoyancy,Surface tension,b,medium
76,Which of the following is a measure of the rate of change of angular displacement?,Speed,Velocity,Acceleration,Angular acceleration,d,medium
77,Which of the following is an example of an internal force acting on the human body?,Friction between shoes and ground,Air resistance while running,Force applied by a weight lifter on a barbell,Force exerted by a chair on a person sitting on it,c,medium
78,Which of the following types of motion is characterized by an object moving along a curved path due to an external force acting perpendicular to its velocity?,Linear motion,Angular motion,Projectile motion,Circular motion,d,medium
79,What is the primary function of tendons in the human body?,Transmitting nerve impulses,Storing energy,Attaching muscle to bone,Cushioning joints,c,medium
80,Which of the following is an example of a second-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,d,medium
81,What is the term for the study of the mechanical properties of biological tissues?,Biomechanics,Osteology,Histology,Myology,a,medium
82,Which of the following is an example of a third-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,a,medium
83,Which of the following is the correct definition of impulse?,The rate of change of momentum,The change in kinetic energy,The product of force and time,The resistance to motion,c,medium
84,What is the term for the point around which a lever rotates or pivots?,Axis,Force,Fulcrum,Resistance,c,medium
85,Which of the following is an example of a compound machine?,Lever,Pulley,Wheelbarrow,Inclined plane,c,medium
86,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Volume,Density,a,medium
87,What is the term for the force that pulls objects towards the center of the Earth?,Friction,Tension,Torque,Gravity,d,medium
88,What is the term for the resistance of a fluid to flow?,Inertia,Viscosity,Buoyancy,Surface tension,b,medium
89,Which of the following is a measure of the rate of change of angular displacement?,Speed,Velocity,Acceleration,Angular velocity,d,medium
90,What is the term for the internal resistance to motion within a fluid?,Inertia,Viscosity,Buoyancy,Surface tension,b,medium
91,Which of the following is a measure of the resistance of an object to changes in its rotational motion?,Mass,Weight,Torque,Momentum,c,medium
92,What is the primary function of ligaments in the human body?,Providing support and protection,Transmitting nerve impulses,Storing energy,Facilitating muscle contraction,a,medium
93,Which of the following is a measure of the force of gravity acting on an object?,Mass,Weight,Volume,Density,b,medium
94,Which of the following is an example of a fixed pulley?,Flagpole pulley,Elevator pulley,Fishing reel pulley,Clothesline pulley,a,medium
95,Which of the following is the SI unit of force?,Newton (N),Joule (J),Watt (W),Pascal (Pa),a,medium
96,Which of the following types of joints allows for rotational movement around a central axis?,Hinge joint,Ball-and-socket joint,Pivot joint,Gliding joint,c,medium
97,Which of the following is the correct formula for calculating work?,Work = Force × Distance,Work = Force × Time,Work = Mass × Acceleration,Work = Energy / Time,a,medium
98,What is the term for the force that opposes the relative motion of surfaces in contact?,Tension,Friction,Torque,Gravity,b,medium
99,Which of the following is an example of an inclined plane?,Screwdriver,Ramp,Axe,Wheelbarrow,b,medium
100,What is the term for the resistance of a fluid to flow?,Inertia,Viscosity,Buoyancy,Surface tension,b,medium
101,Which of the following statements about stress and strain in materials is correct?,"Stress is the deformation per unit length, and strain is the force applied per unit area.","Stress is the force applied per unit area, and strain is the deformation per unit length.",Stress and strain are directly proportional to each other.,Stress and strain are inversely proportional to each other.,b,hard
102,"In biomechanics, what does the term ""creep"" refer to?",A sudden increase in load on a structure causing it to fail,The ability of a material to return to its original shape after being deformed,The gradual deformation of a material over time when subjected to a constant load,The maximum load a structure can withstand before breaking,c,hard
103,"Which of the following is the correct relationship between stress (σ), strain (ε), and Young's modulus (E) for a linearly elastic material?",ε = σ × E,σ = ε × E,E = σ / ε,E = σ × ε,d,hard
104,What is the term for the study of the mechanical behavior of biological tissues under loading conditions?,Biomechanics,Histology,Tissue mechanics,Physiology,c,hard
105,Which of the following is an example of a non-Newtonian fluid commonly found in biological systems?,Water,Blood,Air,Mercury,b,hard
106,What is the term for the maximum stress a material can withstand without undergoing permanent deformation?,Elastic limit,Yield strength,Ultimate tensile strength,Modulus of elasticity,a,hard
107,Which of the following factors can affect the mechanical properties of biological tissues?,Temperature,Aging,Disease,All of the above,d,hard
108,Which of the following equations represents Hooke's Law?,F = ma,E = σ / ε,τ = G × γ,σ = E × ε,d,hard
109,"In biomechanics, what does the term ""hysteresis"" refer to?",The ability of a material to return to its original shape after being deformed,The gradual deformation of a material over time when subjected to a constant load,The difference between the loading and unloading curves in a stress-strain diagram,The maximum load a structure can withstand before breaking,c,hard
110,"Which of the following equations represents the relationship between shear stress (τ), shear modulus (G), and shear strain (γ) in a linearly elastic material?",τ = G × γ,G = τ / γ,γ = τ × G,G = τ × γ,a,hard
111,What is the term for the mechanical property that describes a material's ability to absorb energy and plastically deform before fracturing?,Toughness,Hardness,Stiffness,Ductility,a,hard
112,Which of the following is a characteristic of viscoelastic materials?,They exhibit linear stress-strain behavior.,They return to their original shape instantly after deformation.,Their mechanical properties depend on the rate of loading.,They have a constant Young's modulus.,c,hard
113,What is the term for the study of the mechanical properties of bone?,Biomechanics,Osteology,Histology,Bone mechanics,b,hard
114,Which of the following is an example of a stress concentration factor in biomechanics?,Bending a rod gradually,Applying a tensile force uniformly across a material,Drilling a hole in a material,Subjecting a material to compression,c,hard
115,"Which of the following equations represents the relationship between stress (σ), strain (ε), and the Poisson's ratio (ν) for isotropic materials?",ε = σ × ν,σ = ε × ν,ν = σ / ε,ν = ε / σ,c,hard
116,What is the term for the measure of the resistance of a material to fracture when a crack is present?,Toughness,Ductility,Fracture toughness,Modulus of resilience,c,hard
117,"Which of the following types of loading is characterized by a force applied perpendicular to the cross-sectional area of a material, causing it to compress or stretch?",Torsion,Shear,Compression,Tension,c,hard
118,Which of the following factors influences the mechanical properties of bone?,Age,Gender,Nutrition,All of the above,d,hard
119,What is the term for the measure of a material's ability to resist indentation or penetration?,Toughness,Hardness,Ductility,Resilience,b,hard
120,"Which of the following equations represents the relationship between stress (σ), strain (ε), and the elastic modulus (E) for isotropic materials?",ε = σ × E,σ = ε × E,E = σ / ε,E = σ × ε,c,hard
121,What is the term for the force per unit area required to stretch or compress a material?,Stress,Strain,Pressure,Shear force,a,hard
122,Which of the following is true about the stress-strain curve of a ductile material?,It exhibits a sharp drop in stress after reaching the yield point.,It shows significant plastic deformation before fracture.,It has a low fracture toughness.,It typically fails without warning.,b,hard
123,23. Which of the following is an example of a biological material that exhibits anisotropic behavior?,Steel,Rubber,Wood,Cartilage,d,hard
124,What is the term for the mechanical property that describes a material's resistance to deformation under applied load?,Toughness,Elasticity,Ductility,Brittleness,b,hard
125,"Which of the following equations represents the relationship between stress (σ), strain (ε), and the bulk modulus (K) for isotropic materials?",ε = σ × K,σ = ε × K,K = σ / ε,K = σ × ε,c,hard
126,What is the term for the measure of a material's ability to absorb energy without undergoing permanent deformation?,Toughness,Resilience,Ductility,Hardness,b,hard
127,Which of the following is true about the stress-strain curve of a brittle material?,It exhibits significant plastic deformation before fracture.,It shows a gradual decrease in stress after reaching the yield point.,It typically fails without warning.,It has a high fracture toughness.,c,hard
128,What is the term for the measure of a material's ability to resist fracture under tensile loading?,Toughness,Ductility,Fracture toughness,Resilience,c,hard
129,Which of the following types of loading is characterized by a twisting force applied to a material?,Compression,Tension,Torsion,Shear,c,hard
130,"In biomechanics, what does the term ""fatigue"" refer to?",The sudden failure of a material under cyclic loading,The gradual accumulation of damage in a material under repeated loading,The ability of a material to resist deformation,The maximum load a structure can withstand before breaking,b,hard
131,Which of the following factors can affect the mechanical properties of tendons?,Age,Exercise,Disease,All of the above,d,hard
132,What is the term for the point at which a material transitions from elastic deformation to plastic deformation?,Yield point,Ultimate tensile strength,Elastic limit,Fracture point,a,hard
133,Which of the following is true about the stress-strain curve of a viscoelastic material?,It exhibits linear behavior.,It shows an instantaneous response to applied load.,It depends on the rate of loading.,It returns to its original shape instantly after deformation.,c,hard
134,What is the term for the mechanical property that describes a material's ability to be stretched or deformed without breaking?,Toughness,Hardness,Ductility,Brittleness,c,hard
135,Which of the following is an example of a material with a high damping coefficient?,Rubber,Steel,Glass,Aluminum,a,hard
136,What is the term for the maximum stress a material can withstand before fracturing?,Elastic limit,Yield strength,Ultimate tensile strength,Modulus of elasticity,c,hard
137,Which of the following factors can affect the mechanical properties of ligaments?,Age,Hormonal changes,Injury,All of the above,d,hard
138,"Which of the following equations represents the relationship between stress (σ), strain (ε), and the shear modulus (G) for isotropic materials?",ε = σ × G,σ = ε × G,G = σ / ε,G = σ × ε,c,hard
139,What is the term for the measure of a material's ability to return to its original shape after deformation?,Toughness,Resilience,Ductility,Hardness,b,hard
140,Which of the following is true about the stress-strain curve of a linearly elastic material?,It exhibits a nonlinear relationship between stress and strain.,It shows significant plastic deformation before fracture.,It returns to its original shape after deformation.,It has a low elastic modulus.,c,hard
141,What is the term for the measure of a material's ability to resist deformation under tensile loading?,Toughness,Ductility,Modulus of resilience,Ultimate tensile strength,d,hard
142,"Which of the following equations represents the relationship between stress (σ), strain (ε), and the bulk modulus (K) for isotropic materials?",ε = σ × K,σ = ε × K,K = σ / ε,K = σ × ε,c,hard
143,Which of the following types of loading is characterized by a force applied parallel to the surface of a material?,Compression,Tension,Torsion,Shear,d,hard
144,What is the term for the measure of a material's ability to resist indentation or penetration?,Toughness,Hardness,Ductility,Resilience,b,hard
145,"Which of the following equations represents the relationship between stress (σ), strain (ε), and the elastic modulus (E) for isotropic materials?",ε = σ × E,σ = ε × E,E = σ / ε,E = σ × ε,c,hard
146,What is the term for the measure of a material's ability to absorb energy without undergoing permanent deformation?,Toughness,Resilience,Ductility,Hardness,b,hard
147,Which of the following is true about the stress-strain curve of a brittle material?,It exhibits significant plastic deformation before fracture.,It shows a gradual decrease in stress after reaching the yield point.,It typically fails without warning.,It has a high fracture toughness.,c,hard
148,What is the term for the measure of a material's ability to resist fracture under tensile loading?,Toughness,Ductility,Fracture toughness,Resilience,c,hard
149,Which of the following types of loading is characterized by a twisting force applied to a material?,Compression,Tension,Torsion,Shear,c,hard
150,"In biomechanics, what does the term ""fatigue"" refer to?",The sudden failure of a material under cyclic loading,The gradual accumulation of damage in a material under repeated loading,The ability of a material to resist deformation,The maximum load a structure can withstand before breaking,b,hard
